title,url,ratings,rated,reviews,description,subjects,institutions,instructors,Basic Info,Commitment,Hardware Req,Language,Level,scrape_date
Machine Learning Foundations: A Case Study Approach,https://www.coursera.org/learn/ml-foundations,7115.0,4.6,1715.0,"Do you have data and wonder what it can tell you?  Do you need a deeper understanding of the core ways in which machine learning can improve your business?  Do you want to be able to converse with specialists about anything from regression and classification to deep learning and recommender systems?

In this course, you will get hands-on experience with machine learning from a series of practical case-studies.  At the end of the first course you will have studied how to predict house prices based on house-level features, analyze sentiment from user reviews, retrieve documents of interest, recommend products, and search for images.  Through hands-on practice with these use cases, you will be able to apply machine learning methods in a wide range of domains.

This first course treats the machine learning method as a black box.  Using this abstraction, you will focus on understanding tasks of interest, matching these tasks to machine learning tools, and assessing the quality of the output. In subsequent courses, you will delve into the components of this black box by examining models and algorithms.  Together, these pieces form the machine learning pipeline, which you will use in developing intelligent applications.

Learning Outcomes:  By the end of this course, you will be able to:
   -Identify potential applications of machine learning in practice.  
   -Describe the core differences in analyses enabled by regression, classification, and clustering.
   -Select the appropriate machine learning task for a potential application.  
   -Apply regression, classification, clustering, retrieval, recommender systems, and deep learning.
   -Represent your data as features to serve as input to machine learning models. 
   -Assess the model quality in terms of relevant error metrics for each task.
   -Utilize a dataset to fit a model to analyze new data.
   -Build an end-to-end application that uses machine learning at its core.  
   -Implement these techniques in Python.","['Home', 'Data Science', 'Machine Learning']",Created by:  University of Washington,"['Taught by:\xa0\xa0Carlos Guestrin, Amazon Professor of Machine Learning', 'Taught by:\xa0\xa0Emily Fox, Amazon Professor of Machine Learning']",Course 1 of 4 in the Machine Learning Specialization ,"6 weeks of study, 5-8 hours/week",,"English, Subtitles: Korean, Vietnamese, Chinese (Simplified)",,2018-05-30
Stanford Introduction to Food and Health,https://www.coursera.org/learn/food-and-health,6340.0,4.6,1891.0,"Around the world, we find ourselves facing global epidemics of obesity, Type 2 Diabetes and other predominantly diet-related diseases. To address these public health crises, we urgently need to explore innovative strategies for promoting healthful eating. There is strong evidence that global increases in the consumption of heavily processed foods, coupled with cultural shifts away from the preparation of food in the home, have contributed to high rates of preventable, chronic disease. In this course, learners will be given the information and practical skills they need to begin optimizing the way they eat. This course will shift the focus away from reductionist discussions about nutrients and move, instead, towards practical discussions about real food and the environment in which we consume it. By the end of this course, learners should have the tools they need to distinguish between foods that will support their health and those that threaten it. In addition, we will present a compelling rationale for a return to simple home cooking, an integral part of our efforts to live longer, healthier lives.

View the trailer for the course here: https://www.youtube.com/watch?v=z7x1aaZ03xU","['Home', 'Life Sciences', 'Nutrition']",Created by:  Stanford University,"['Taught by:\xa0\xa0Maya Adam, MD, Lecturer']",,"5 weeks of study, 1 hour/week",No special hardware required.,"English, Subtitles: Czech, German, Russian, Spanish",Beginner,2018-05-30
Introduction to HTML5,https://www.coursera.org/learn/html,6225.0,4.7,1576.0,"Thanks to a growing number of software programs, it seems as if anyone can make a webpage. But what if you actually want to understand how the page was created? There are great textbooks and online resources for learning web design, but most of those resources require some background knowledge. This course is designed to help the novice who wants to gain confidence and knowledge. We will explore the theory (what actually happens when you click on a link on a webpage?), the practical (what do I need to know to make my own page?), and the overlooked (I have a page, what do I do now?). Throughout the course there will be a strong emphasis on adhering to syntactic standards for validation and semantic standards to promote wide accessibility for users with disabilities.  The textbook we use is available online, “The Missing Link: An Introduction to Web Development and Programming” by Michael Mendez from www.opensuny.org. 

This course will appeal to a wide variety of people, but specifically those who would like a step-by-step description of the basics. There are no prerequisites for this course and it is assumed that students have no prior programming skills or IT experience. The course will culminate in a small final project that will require the completion of a very simple page with links and images. The focus of this course is on the basics, not appearance. You can see a sample final page at http://intro-webdesign.com/html5-plain.html.  

This is the first course in the Web Design For Everybody specialization. Subsequent courses focus on the marketable skills of styling the page with CSS3, adding interactivity with JavaScript and enhancing the styling with responsive design. You can see a sample site for the capstone course at http://intro-webdesign.com/","['Home', 'Computer Science', 'Mobile and Web Development']",Created by:  University of Michigan,"['Taught by:\xa0\xa0Colleen van Lent, Ph.D., Lecturer', 'Taught by:\xa0\xa0Charles Severance, Associate Professor']",Course 1 of 5 in the Web Design for Everybody (Basics of Web Development and Coding) Specialization ,"3 weeks of study, 2-4 hours/week",,English,,2018-05-30
Introduction to Data Science in Python,https://www.coursera.org/learn/python-data-analysis,5997.0,4.5,1583.0,"This course will introduce the learner to the basics of the python programming environment, including fundamental python programming techniques such as lambdas, reading and manipulating csv files, and the numpy library. The course will introduce data manipulation and cleaning techniques using the popular python pandas data science library and introduce the abstraction of the Series and DataFrame as the central data structures for data analysis, along with tutorials on how to use functions such as groupby, merge, and pivot tables effectively. By the end of this course, students will be able to take tabular data, clean it, manipulate it, and run basic inferential statistical analyses. 

This course should be taken before any of the other Applied Data Science with Python courses: Applied Plotting, Charting & Data Representation in Python, Applied Machine Learning in Python, Applied Text Mining in Python, Applied Social Network Analysis in Python.","['Home', 'Data Science', 'Data Analysis']",Created by:  University of Michigan,['Taught by:\xa0\xa0Christopher Brooks'],Course 1 of 5 in the Applied Data Science with Python Specialization ,,,"English, Subtitles: Korean, Vietnamese, Chinese (Traditional)",Intermediate,2018-05-30
Grammar and Punctuation,https://www.coursera.org/learn/grammar-punctuation,5815.0,4.6,1707.0,"Course 1: Grammar and Punctuation

Do you need to review English grammar? Have you forgotten the grammar you once studied? If so, this course is perfect for you.

The first course in this specialization is a refresher on some tools needed for good writing. It will help prepare you for the other courses. You will need about 10 hours to complete this first course. Writing is a skill and to learn a skill well, you need to practice. In this course, you will watch short video lectures and then practice and discuss what you have learned. Make sure you take good notes and use the peer discussions to ask questions. Then you'll be able to remember the rules you learn in this course when you start writing essays in the next course.

After completing this course, you will be able to:
 - identify the correct verb tenses to use
 - use commas effectively
 - utilize several different sentence types
 - write more effectively in English

Please note that the free version of this class gives you access to all of the instructional videos and handouts. The peer feedback and quizzes are only available in the paid version.","['Home', 'Language Learning', 'Learning English']","Created by:  University of California, Irvine","['Taught by:\xa0\xa0Tamy Chapman, Instructor, International Programs', 'Taught by:\xa0\xa0Helen Nam, Instructor', 'Taught by:\xa0\xa0Brad Gilpin']",Course 1 of 5 in the Academic English: Writing Specialization ,"4 weeks of study, 4-5 hours/week",,"English, Subtitles: Vietnamese, Spanish, Arabic",,2018-05-30
Sequence Models,https://www.coursera.org/learn/nlp-sequence-models,5624.0,4.8,734.0,"This course will teach you how to build models for natural language, audio, and other sequence data. Thanks to deep learning, sequence algorithms are working far better than just two years ago, and this is enabling numerous exciting applications in speech recognition, music synthesis, chatbots, machine translation, natural language understanding, and many others. 

You will:
- Understand how to build and train Recurrent Neural Networks (RNNs), and commonly-used variants such as GRUs and LSTMs.
- Be able to apply sequence models to natural language problems, including text synthesis. 
- Be able to apply sequence models to audio applications, including speech recognition and music synthesis.

This is the fifth and final course of the Deep Learning Specialization.

deeplearning.ai is also partnering with the NVIDIA Deep Learning Institute (DLI) in Course 5, Sequence Models, to provide a programming assignment on Machine Translation with deep learning. You will have the opportunity to build a deep learning project with cutting-edge, industry-relevant content.","['Home', 'Data Science', 'Machine Learning']",Created by:  deeplearning.ai,"['Taught by:\xa0\xa0Andrew Ng, Co-founder, Coursera; Adjunct Professor, Stanford University; formerly head of Baidu AI Group/Google Brain', 'Taught by:\xa0\xa0Head Teaching Assistant - Kian Katanforoosh, Adjunct Lecturer at Stanford University, deeplearning.ai, Ecole Centrale Paris', 'Taught by:\xa0\xa0Teaching Assistant - Younes Bensouda Mourri, Mathematical & Computational Sciences, Stanford University, deeplearning.ai']",Course 5 of 5 in the Deep Learning Specialization ,,There is no hardware requirement,English,Intermediate,2018-05-30
Technical Support Fundamentals,https://www.coursera.org/learn/technical-support-fundamentals,5544.0,4.8,1333.0,"In this course, you’ll be introduced to the world of Information Technology, or IT. This course is the first of a series that aims to prepare you for a role as an entry-level IT Support Specialist. You’ll learn about the different facets of Information Technology, like computer hardware, the Internet, computer software, and job-related skills. You’ll also learn about the history of computers, and the pioneers who shaped the world of computing that we know today. This course covers a wide variety of topics in IT that are designed to give you an overview of what’s to come in this IT Support Professional Certificate.

By the end of this course, you’ll be able to:
- understand how the binary system works.
- assemble a computer from scratch.
- choose and install an operating system on a computer.
- understand what the Internet is, how it works, and the impact it has in the modern world.
- learn how applications are created and how they work under the hood of our computer.
- utilize common problem-solving methodologies and soft skills in an Information Technology setting.

Except as otherwise noted, the contents on this site are licensed under a Creative Commons Attribution-ShareAlike 4.0 International License.","['Home', 'Information Technology', 'Support and Operations']",Created by:  Google,,Course 1 of 5 in the Google IT Support Professional Certificate Specialization ,8 - 10 hours per week,"You’ll need to complete some of the assessments (e.g., Qwiklabs and plugins) on a desktop or laptop web browser.",English,Beginner,2018-05-30
Initiating and Planning Projects,https://www.coursera.org/learn/project-planning,5222.0,4.6,1038.0,"The courses in the Introduction to Project Management Principles and Practices Specialization are a recommended precursor to UCI's Applied Project Management Certificate. 

Successful projects require careful upfront planning. In this course, you’ll learn the key roles and responsibilities of the project manager and project team. You’ll also learn to answer some key questions upfront to help you meet project objectives: What will this project accomplish? Why is this project important? Who benefits from this project? How will we plan for successful outcomes?

Upon completing this course, you will be able to:
1.       Identify the key characteristics of a project
2.       Identify primary project constraints
3.       Define the role and responsibilities of the project manager
4.       Identify Project Organizational Structures
5.       Understand the definition of a Project Stakeholder
6.       Identify project stakeholders
7.       Identify information needs of the project stakeholders
8.       Define responsibility for managing stakeholder and controlling stakeholder engagement
9.       Define the purpose of using a project charter
10.     Summarize the key elements of a project plan
11.     Identify common sources of conflict within a project environment
12.     Describe the difference between authority and influence","['Home', 'Business', 'Leadership and Management']","Created by:  University of California, Irvine","['Taught by:\xa0\xa0Margaret  Meloni,  MBA, PMP, Instructor, University of California, Irvine Extension']",Course 1 of 4 in the Introduction to Project Management Principles and Practices Specialization ,"4 weeks of study, 2-3 hours/week",,"English, Subtitles: Vietnamese, Arabic, Croatian",,2018-05-30
Successful Negotiation: Essential Strategies and Skills,https://www.coursera.org/learn/negotiation-skills,4686.0,4.7,1106.0,"We all negotiate on a daily basis. On a personal level, we negotiate with friends, family, landlords, car sellers and employers, among others. Negotiation is also the key to business success. No business can survive without profitable contracts. Within a company, negotiation skills can lead to your career advancement. 

I hope that you will join the hundreds of thousands of learners who have made “Successful Negotiation” one of the most popular and highly-rated MOOCs worldwide.  In the course, you’ll learn about and practice the four steps to a successful negotiation: 

   (1) Prepare: Plan Your Negotiation Strategy 

   (2) Negotiate: Use Key Tactics for Success 

   (3) Close: Create a Contract 

   (4) Perform and Evaluate: The End Game 

To successfully complete this course and improve your ability to negotiate, you’ll need to do the following: 

(1) Watch the short videos (ranging from 5 to 20 minutes). The videos are interactive and they include questions to test your understanding of negotiation strategy and skills. You can speed up or slow down videos to match your preferred pace for listening. Depending on your schedule, you can watch the videos over a few weeks or you can binge watch them. A learner who binge-watched the course concluded that “It’s as good as Breaking Bad.” Another learner compared the course to “House of Cards.”  Both shows contain interesting examples of complex negotiations!

(2) Test your negotiation skills by completing the negotiation in Module 6. You can negotiate with a local friend or use Discussions to find a partner from another part of the world. Your negotiation partner will give you feedback on your negotiation skills. To assist you with your negotiations, I have developed several free negotiating planning tools that are related to the course.  These tools and a free app are available at http://negotiationplanner.com/ 

(3) Take the final exam. To successfully complete the course, you must answer 80% of the questions correctly. The exam is a Mastery Exam, which means that you can take it as many times as you want until you master the material. 

Course Certificate
You have the option of earning a Course Certificate.  A Certificate provides formal recognition of your achievements in the course and includes the University of Michigan logo.   Learn more about Certificates at: https://learner.coursera.help/hc/en-us/articles/209819053-Get-a-Course-Certificate
 
This course is also available in Spanish and Portuguese. To join the fully translated Spanish version, visit this page: https://www.coursera.org/learn/negociacion/ 

To join the fully translated Portuguese version, visit this page: https://www.coursera.org/learn/negociacao
Subtitles for the videos are available in English, Ukrainian, Chinese (Simplified), Portuguese (Brazilian), Spanish


Created by:  University of Michigan

The course logo composite is shared with a Creative Commons CC BY-SA (https://creativecommons.org/licenses/by-sa/2.0/) license, and was created using images provided courtesy of Flazingo Photos (http://bit.ly/1zOylRm) and K2 Space (https://www.flickr.com/photos/k2space/14257556613/in/set-72157644732478432).","['Home', 'Business', 'Business Essentials']",Created by:  University of Michigan,"['Taught by:\xa0\xa0George Siedel, Williamson Family Professor of Business Administration and Thurnau Professor of Business Law']",,"7 weeks of study, 75 minutes/week",,"English, Subtitles: Ukrainian, Chinese (Simplified), Portuguese (Brazilian), Russian, Spanish",,2018-05-30
Child Nutrition and Cooking,https://www.coursera.org/learn/childnutrition,4488.0,4.7,1382.0,"Eating patterns that begin in childhood affect health and well-being across the lifespan. The culture of eating has changed significantly in recent decades, especially in parts of the world where processed foods dominate our dietary intake. This course examines contemporary child nutrition and the impact of the individual decisions made by each family. The health risks associated with obesity in childhood are also discussed. Participants will learn what constitutes a healthy diet for children and adults and how to prepare simple, delicious foods aimed at inspiring a lifelong celebration of easy home-cooked meals. This course will help prepare participants to be the leading health providers, teachers and parents of the present and future.The text and other material in this course may include the opinion of the specific instructor and are not statements of advice, endorsement, opinion, or information of Stanford University.","['Home', 'Life Sciences', 'Nutrition']",Created by:  Stanford University,"['Taught by:\xa0\xa0Maya Adam, MD, Lecturer']",,5 hours of videos and quizzes,No special hardware required.,"English, Subtitles: Croatian, Ukrainian, Chinese (Simplified), Dutch, Bulgarian, Korean, German, Russian, Spanish, Japanese, Romanian, Polish",Beginner,2018-05-30
Fundamentals of Graphic Design,https://www.coursera.org/learn/fundamentals-of-graphic-design,4233.0,4.7,1062.0,"Graphic Design is all around us! Words and pictures—the building blocks of graphic design—are the elements that carry the majority of the content in both the digital world and the printed world. As graphic design becomes more visible and prevalent in our lives, graphic design as a practice becomes more important in our culture.

Through visual examples, this course will teach you the fundamental principles of graphic design: imagemaking, typography, composition, working with color and shape... foundational skills that are common in all areas of graphic design practice. I don't just want you to watch a video of someone talking about design, I want you to MAKE design! If you want to be a designer you have to be a maker and a communicator, so this course will offer you lots of opportunities to get your hands dirty with exercises and with more practical projects.

At the end of this course you will have learned how to explore and investigate visual representation through a range of image-making techniques; understand basic principles of working with shape, color and pattern; been exposed to the language and skills of typography; and understand and have applied the principles of composition and visual contrast. If you complete the course, along with its optional (but highly recommended) briefs, you will have a core set of graphic design skills that you can apply to your own projects, or to more deeply investigate a specialized area of graphic design.

To succeed in this course you will need access to a computer. You can complete this course without one but it will be tougher. Access to, and a beginner's level knowledge of Adobe Creative Suite programs, such as Illustrator, Photoshop and InDesign will help you, especially if you want to complete the optional briefs.","['Home', 'Arts and Humanities', 'Music and Art']",Created by:  California Institute of the Arts,"['Taught by:\xa0\xa0Michael Worthington, Faculty, Program in Graphic Design']",Course 1 of 5 in the Graphic Design Specialization ,"4 weeks of study, 5-8 hours/week",,English,Beginner,2018-05-30
Marketing in a Digital World,https://www.coursera.org/learn/marketing-digital,4206.0,4.6,1181.0,"This course examines how digital tools, such as the Internet, smartphones, and 3D printing, are revolutionizing the world of marketing by shifting the balance of power from firms to consumers. Marketing in a Digital World is one of the most popular courses on Coursera with over 150,000 Learners and is rated by Class Central as one of the Top 50 MOOCs of All Time (https://www.class-central.com/report/top-moocs/).

This course is part of the iMBA offered by the University of Illinois, a flexible, fully-accredited online MBA at an incredibly competitive price. For more information, please see the Resource page in this course and onlinemba.illinois.edu.","['Home', 'Business', 'Marketing']",Created by:  University of Illinois at Urbana-Champaign,"['Taught by:\xa0\xa0Aric Rindfleisch, John M. Jones Professor of Marketing']",Course 1 of 7 in the Digital Marketing Specialization ,"4 weeks of study, 6-8 hours/week",,"English, Subtitles: Chinese (Simplified), Portuguese (Brazilian), Vietnamese, Turkish, Spanish",Beginner,2018-05-30
