Basic Info,Commitment,Hardware Req,How To Pass,Language,Level,User Ratings,description,institutions,instructors,ratings,reviews,scrape_date,subjects,title,url
,,,Pass all graded assignments to complete the course.,English,,4.3 starsAverage User Rating 4.3See what learners said,About this course: This course utilizes an inquiry based approach to understanding sources of competitive advantages in companies and other organizations.,Created by:  University of New Mexico,"['Taught by:\xa0\xa0Doug E Thomas, Ph.D., Professor']",Rated 4.3 out of 5 of 69 ratings,See all 20 reviews,2018-05-30,"['Home', 'Business', 'Entrepreneurship']",Entrepreneurial Strategic Management,https://www.coursera.org/learn/entrepreneurial-strategic-management
Course 1 of 5 in the Mastering Software Development in R Specialization ,,,Pass all graded assignments to complete the course.,English,Intermediate,4.4 starsAverage User Rating 4.4See what learners said,"About this course: This course provides a rigorous introduction to the R programming language, with a  particular focus on using R for software development in a data science setting. Whether you are part of a data science team or working individually within a community of developers, this course will give you the knowledge of R needed to make useful contributions in those settings. As the first course in the Specialization, the course provides the essential foundation of R needed for the following courses. We cover basic R concepts and language fundamentals, key concepts like tidy data and related ""tidyverse"" tools, processing and manipulation of complex and large datasets, handling textual data, and basic data science tasks. Upon completing this course, learners will have fluency at the R console and will be able to create tidy datasets from a wide range of possible data sources.",Created by:  Johns Hopkins University,"['Taught by:\xa0\xa0Roger D. Peng, PhD, Associate Professor, Biostatistics', 'Taught by:\xa0\xa0Brooke Anderson, Assistant Professor, Environmental & Radiological Health Sciences']",Rated 4.4 out of 5 of 610 ratings,See all 161 reviews,2018-05-30,"['Home', 'Data Science', 'Data Analysis']",The R Programming Environment,https://www.coursera.org/learn/r-programming-environment
,"6 weeks of study, 3-4 hours/week",,Pass all graded assignments to complete the course.,English,Beginner,4.5 starsAverage User Rating 4.5See what learners said,"About this course: The cloud is taking business by storm.  In fact, due to the extraordinary growth of the cloud, it has been described as a tornado, not a fluffy white floating object!

Commercial research analysts consider cloud as one of the most significant trends with a potential to change the whole global IT industry.  Governments, including those in the US, Britain, and Australia, have cloud-first policies now in place which mandate cloud over non-cloud services in ICT procurement.  But CIOs and other senior executives, while it's on the majority of their agendas, aren't sure what it really means for their organisations - how to leverage the benefits, control the commercials, manage the business risk, and adapt their organisations.  

While it is important to set requirements, negotiate commercials (terms, service level agreements, and pricing), and sign the contract - it is also critical that we develop a clear plan for ‘Moving to the Cloud’ which realigns our business architecture, organization and most importantly our people.
This course provides the answers that management must know to be successful and realise the benefits:

•	Where should I go cloud? 
•	What are the commercials?
•	Where is my leverage?
•	How do I realign my business practices and architecture?
•	How do I gear up my people and structure my organisation?

View the MOOC promotional video here: http://tinyurl.com/hvtz2ph",Created by:  The University of Melbourne,"['Taught by:\xa0\xa0Rod Dilnutt, Dr', 'Taught by:\xa0\xa0Sara Cullen, Dr']",Rated 4.5 out of 5 of 88 ratings,See all 21 reviews,2018-05-30,"['Home', 'Business', 'Business Strategy']",Moving to the Cloud,https://www.coursera.org/learn/cloud-computing-adoption
Course 4 of 7 in the Innovation: From Creativity to Entrepreneurship Specialization ,,,Pass all graded assignments to complete the course.,English,,4.5 starsAverage User Rating 4.5See what learners said,"About this course: Creativity requires us to collaborate with others. This course is designed to make you a better creative collaborator. Creativity can require us to bring together knowledge from different areas, often known by different people. We need to foster effective collaboration rather than have those differences lead to misunderstandings and conflict. The ideas that we generate, individually or collectively, will be evaluated by others, such as bosses, funders, and customers. These audiences will likely have different concerns when they hear about your ideas and are likely to evaluate ideas differently than you do. We need to pitch our ideas in ways that get others excited about them, rather than bored or confused, so that we can expand the group of collaborators in our creative efforts.",Created by:  University of Illinois at Urbana-Champaign,"['Taught by:\xa0\xa0Jeffrey Loewenstein, Associate Professor of Organizational Behavior', 'Taught by:\xa0\xa0Jack Goncalo, Professor']",Rated 4.5 out of 5 of 40 ratings,See all 3 reviews,2018-05-30,"['Home', 'Business', 'Entrepreneurship']",Creativity Toolkit II: Creative Collaboration,https://www.coursera.org/learn/creativity-toolkit-2
Course 6 of 7 in the Financial Management Specialization ,,,Pass all graded assignments to complete the course.,"English, Subtitles: Korean",,4.9 starsAverage User Rating 4.9See what learners said,"About this course: In this course you will learn how companies decide on how much debt to take, and whether to raise capital from markets or from banks. You will also learn how to measure and manage credit risk and how to deal with financial distress. You will discuss the mechanics of dividends and share repurchases, and how to choose the best way to return cash to investors. You will also learn how to use derivatives and liquidity management to offset specific sources of financial risk, including currency risks. Finally, You will learn how companies finance merger and acquisition decisions, including leveraged buyouts, and how to incorporate large changes in leverage in standard valuation models.

Upon successful completion of this course, you will be able to:

•	Understand how companies make financing, payout and risk management decisions that create value
•	Measure the effects of leverage on profitability, risk, and valuation
•	Manage credit risk and financial distress using appropriate financial tools
•	Understand the links between payout policies and company performance
•	Use derivatives and liquidity management to offset financial risks
•	Pick an appropriate financing package for an M&A or leveraged buyout deal

This course is part of the iMBA offered by the University of Illinois, a flexible, fully-accredited online MBA at an incredibly competitive price. For more information, please see the Resource page in this course and onlinemba.illinois.edu.",Created by:  University of Illinois at Urbana-Champaign,"['Taught by:\xa0\xa0Heitor Almeida, Professor of Finance, Stanley C. and Joan J. Golder Chair in Corporate Finance']",Rated 4.9 out of 5 of 157 ratings,See all 27 reviews,2018-05-30,"['Home', 'Business', 'Finance']",Corporate Finance II: Financing Investments and Managing Risk,https://www.coursera.org/learn/corporate-finance-two
,,,Pass all graded assignments to complete the course.,English,,4.8 starsAverage User Rating 4.8See what learners said,"About this course: With the world's first MOOOOO-C, you will gain a broad and comprehensive understanding of all aspects of dairy management such as genetics, nutrition, reproduction, animal health, farm economics, and sustainability of dairy production systems. There's something here for everyone whether you are just looking for the basics or have years of experience in the dairy industry.

This is an eight-week course. Each week consists of four to nine video lectures, additional reading materials, and a multiple-choice questions quiz. Estimated study time is between three and five hours per week. Learners have the option to purchase a Course Certificate for 49.00 USD. The certificate can be purchased at any time, but you must verify your identify before taking the course quizzes in order to be eligible. For those who cannot afford the certificate fee, financial aid is available through Coursera.

Why is producing milk efficiently and sustainably so important? 

Milk provides humans with over 16 essential nutrients, such as: Energy, Protein and Essential Amino acids, Vitamin A, Vitamin D, several B vitamins, including B12, Pantothenic and Folic acids, and essential minerals such as Calcium, Magnesium, Phosphorus, Potassium, Zinc, as well as other minerals. Did you know that one glass of milk provides a 5-year old child with 21% of his/her daily protein requirements and 8% of their energy needs?

Most milk in the world, about 85%, is produced from cattle. However, water buffaloes, goats, sheep, and camel are also dairy animals. The United States, India, the European Union, Brazil, and New Zealand are among the largest dairy producers in the world. Yet among these dairy-producing countries there are varied methods to generate milk with highly variable productivity and efficiency. Dairy production is vital for the survival of billions of people. Globally, around 150 million small-scale dairy households, equivalent to 750 million people, are engaged in milk production. The number and size of dairy farms varies among countries, but in India alone, there are estimated 78 million dairy farms! In the United States, one of the leading milk-producing countries in the world, total milk production has been steadily increasing in the last decades, reaching over 205 billion pounds (93 billion kilograms) in 2014. This was accompanied by a steady increase in average milk yield per cow, reaching 22,260 lb (over 10,100 kg) per lactation in 2014. How has this efficiency been achieved? What methods are necessary to ensure production of high quality milk? How do we balance milk production efficiency with animal health and environmental protection? This course will provide the student with information to better understand dairy production systems and their role in feeding the world population.

In this MOOOOO-C, you will learn about the dairy enterprise from internationally recognized dairy science professors who have delivered highly regarded dairy education programs within the United States and internationally.

Course lectures are translated into Portuguese and Chinese; PDF files of these translations can be found under each course week. The Dairy MOOC team thanks Dr. Antonio Branco (Universidade Estadual de Maringá, Brazil) and Ms. Yuanyuan Zhang (Pennsylvania State University) for translating the lecture materials.

Course Sponsors

This course was supported by the generous contributions of Innovation Center for US Dairy at Silver Level and Pancosma North America, RP Nutrients, Inc. and Arm and Hammer, which provided funding support at a Bronze Level.  The Pennsylvania State University has final responsibility for the academic content of this course.",Created by:  The Pennsylvania State University,"['Taught by:\xa0\xa0Alexander N. Hristov, Professor of Dairy Nutrition', 'Taught by:\xa0\xa0Troy L. Ott, Professor of Reproductive Biology and Associate Director', 'Taught by:\xa0\xa0Bhushan Jayarao, Resident Director', 'Taught by:\xa0\xa0Greg Roth, Professor of Agronomy', 'Taught by:\xa0\xa0Gabriella A. Varga, Distinguished Professor of Animal Science', 'Taught by:\xa0\xa0Chad Dechow, Associate Professor of Dairy Cattle Genetics', 'Taught by:\xa0\xa0Robert Van Saun, Professor of Veterinary Science and Extension Veterinarian ', 'Taught by:\xa0\xa0Kathy Soder, Research Animal Scientist', 'Taught by:\xa0\xa0James Dunn, Professor of Agricultural Economics', 'Taught by:\xa0\xa0Lisa A. Holden, Associate Professor of Dairy Science']",Rated 4.8 out of 5 of 269 ratings,See all 87 reviews,2018-05-30,"['Home', 'Life Sciences', 'Animals and Veterinary Science']",Dairy Production and Management,https://www.coursera.org/learn/dairy-production
Course 3 of 5 in the Business Statistics and Analysis Specialization ,4 weeks of study,,Pass all graded assignments to complete the course.,English,,4.8 starsAverage User Rating 4.8See what learners said,"About this course: Confidence intervals and Hypothesis tests are very important tools in the Business Statistics toolbox. A mastery over these topics will help enhance your business decision making and allow you to understand and measure the extent of ‘risk’ or ‘uncertainty’ in various business processes. 
This is the third course in the specialization ""Business Statistics and Analysis"" and the course  advances your knowledge about Business Statistics by introducing you to Confidence Intervals and Hypothesis Testing. We first conceptually understand these tools and their business application. We then introduce various calculations to constructing confidence intervals and to conduct different kinds of Hypothesis Tests. These are done by easy to understand applications.

To successfully complete course assignments, students must have access to a Windows version of Microsoft Excel 2010 or later. Please note that earlier versions of Microsoft Excel (2007 and earlier) will not be compatible to some Excel functions covered in this course. 


WEEK 1
Module 1: Confidence Interval - Introduction
In this module you will get to conceptually understand what a confidence interval is and how is its constructed. We will introduce the various building blocks for the confidence interval such as the t-distribution, the t-statistic, the z-statistic and their various excel formulas. We will then use these building blocks to construct confidence intervals.

Topics covered include:
•	Introducing the t-distribution, the T.DIST and T.INV excel functions
•	Conceptual understanding of a Confidence Interval
•	The z-statistic and the t-statistic
•	Constructing a Confidence Interval using z-statistic and t-statistic 


WEEK 2
Module 2: Confidence Interval - Applications
This module presents various business applications of the confidence interval including an application where we use the confidence interval to calculate an appropriate sample size. We also introduce with an application, the confidence interval for a population proportion. Towards the close of module we start introducing the concept of Hypothesis Testing.

Topics covered include:
•	Applications of Confidence Interval
•	Confidence Interval for a Population Proportion
•	Sample Size Calculation
•	Hypothesis Testing, An Introduction


WEEK 3
Module 3: Hypothesis Testing
This module introduces Hypothesis Testing. You get to understand the logic behind hypothesis tests. The four steps for conducting a hypothesis test are introduced and you get to apply them for hypothesis tests for a population mean as well as population proportion. You will understand the difference between single tail hypothesis tests and two tail hypothesis tests and also the Type I and Type II errors associated with hypothesis tests and ways to reduce such errors. 

Topics covered include:
•	The Logic of Hypothesis Testing
•	The Four Steps for conducting a Hypothesis Test
•	Single Tail and Two Tail Hypothesis Tests
•	Guidelines, Formulas and an Application of Hypothesis Test
•	Hypothesis Test for a Population Proportion
•	Type I and Type II Errors in a Hypothesis 


WEEK 4
Module 4: Hypothesis Test - Differences in Mean
In this module, you'll apply Hypothesis Tests to test the difference between two different data, such hypothesis tests are called difference in means tests. We will introduce the three kinds of difference in means test and apply them to various business applications. We will also introduce the Excel dialog box to conduct such hypothesis tests.

Topics covered include:
•	Introducing the Difference-In-Means Hypothesis Test
•	Applications of the Difference-In-Means Hypothesis Test
•	The Equal & Unequal Variance Assumption and the Paired t-test for difference in means.
•	Some more applications",Created by:  Rice University,"['Taught by:\xa0\xa0Sharad Borle, Associate Professor of Management']",Rated 4.8 out of 5 of 277 ratings,See all 38 reviews,2018-05-30,"['Home', 'Data Science', 'Data Analysis']",Business Applications of Hypothesis Testing and Confidence Interval Estimation ,https://www.coursera.org/learn/hypothesis-testing-confidence-intervals
Course 2 of 5 in the Fundamentals of Accounting  Specialization ,"4 weeks of study, 2-4 hours/week",,Pass all graded assignments to complete the course.,English,Beginner,4.6 starsAverage User Rating 4.6See what learners said,"About this course: This course is designed to provide a basic understanding of financial statements with an emphasis on the income statement. Building on the foundation formed in the first course, you will learn about the third of our three measurement questions and how the income statement helps to answer this final measurement question. Returning to the real business people introduced in the first course, this second course describes the basic content of income statement in a simple yet relevant context. The course ends by summarizing many of the lessons learned in both courses to leave you with a lasting impression about what financial statements are and how accounting can work for you. We all know that accounting is “the language of business”; let’s make learning this language engaging, and perhaps even fun!

Upon successful completion of this course, you will be able to:
•	Describe the purpose of an income statement.
•	Define the basic components of an income statement.
•	Recognize and understand the meaning of several items typically presented on an income statement. 
•	Explain the broader purpose of financial statements and the role of accounting in producing the financial statements.
•	Read and, to some extent, interpret real-world income statements.

If you enjoy this business course and are interested in an MBA, consider applying to the iMBA, a flexible, fully-accredited online MBA at an incredibly competitive price offered by the University of Illinois. For more information, please see the Resource page in this course and onlinemba.illinois.edu.",Created by:  University of Illinois at Urbana-Champaign,"['Taught by:\xa0\xa0Kevin E. Jackson, Associate Professor of Accountancy and PwC Faculty Fellow']",Rated 4.6 out of 5 of 137 ratings,See all 30 reviews,2018-05-30,"['Home', 'Business', 'Business Essentials']",Understanding Financial Statements: Company Performance,https://www.coursera.org/learn/income-statement
,,,Pass all graded assignments to complete the course.,English,Intermediate,4.7 starsAverage User Rating 4.7See what learners said,"About this course: The main goal of this class are to gain an introductory exposure to the nature of the psychiatric disorder known as schizophrenia as revealed by the scientific method. We will discuss a broad range of findings from the scientific investigation of biological and psychological factors related to schizophrenia and its treatment. More specifically we will learn about: (1)  key symptomatic features through discussion and enactments of interviews with actors portraying many of the cardinal features of the illness, (2) what brain imaging studies (MRI and fMRI) and neurochemistry have taught us about the neuroscience of the disorder, (3) scientific psychological data and theories concerning cognition, emotion and behavior in schizophrenia, and (4) current, evidence-based somatic and psychosocial approaches to treatment. A brief historical overview of the recent emergence of the psychiatric category of schizophrenia will be presented as well.",Created by:  Wesleyan University,"['Taught by:\xa0\xa0Matt Kurtz, Professor']",Rated 4.7 out of 5 of 123 ratings,See all 26 reviews,2018-05-30,"['Home', 'Social Sciences', 'Psychology']",Schizophrenia,https://www.coursera.org/learn/schizophrenia
,"3 weeks of study, 5-7 hours/week",,Pass all graded assignments to complete the course.,"English, Subtitles: French",,4.7 starsAverage User Rating 4.7See what learners said,"About this course: Whether you are an advanced law student looking to review the basics, or an aspiring law student looking for head start, this course will help you build the foundation you will need to succeed in law school and beyond. This course will introduce you to terminology, concepts, and tools lawyers and legal academics use to make their arguments. It will help you follow these arguments—and make arguments of your own.

This course consists of a series of short lectures and assignments. A reading list complements each lesson, providing you with a roadmap to help you explore the subject matter more deeply on your own. Although the lessons may cross-reference each other, they are modular in nature: you should feel free to approach them in whatever order fits your schedule, interests, and needs.",Created by:  Yale University,"['Taught by:\xa0\xa0Ian Ayres, William K. Townsend Professor']",Rated 4.7 out of 5 of 448 ratings,See all 136 reviews,2018-05-30,"['Home', 'Social Sciences', 'Law']",A Law Student's Toolkit,https://www.coursera.org/learn/law-student
